index,id,name,group,rank,visible,clicked,start,end,lat,long
0,jo,Johannes Eberenz,jo,1,1,0,,,,
1,geo,Geo- Information,geo,2,0,0,,,,
2,code,Code,code,2,0,0,,,,
3,theater,Theater,theater,2,0,0,,,,
4,wur,WUR,companies,3,0,0,,,,
5,research_ass,Research Assistant,companies,2,0,0,2014-11,2015-08,,
6,study_ass,Study Assitant Earth Observation,companies,5,0,0,2014-04,2014-05,,
7,wag,Wageningen,places,4,0,0,,,51.97,5.66
,fiji,Fiji,places,6,0,0,,,-18.142,178.442
,india,India,places,6,0,0,,,17.91,83.36
8,intgiz,Intern Reference Database,edu,5,0,0,2013-11,2014-04,,
9,intseds,Intern GIS coordination,edu,5,0,0,2010-11,2011-03,,
,berlin,Berlin,places,6,0,0,,,2.52,13.41
10,hu,HU Berlin,companies,5,0,0,,,,
,hd,Heidelberg,places,6,0,0,,,49.399,8.67
11,unihd,Uni Heidelberg,companies,5,0,0,,,,
12,rs,Remote Sensing,geo,4,0,0,,,,
13,r,R,code,4,0,0,,,,
14,python,python,code,5,0,0,,,,
15,linux,Linux,code,5,0,0,,,,
16,js,Java Script,code,5,0,0,,,,
17,html,HTML,code,5,0,0,,,,
18,css,CSS,code,6,0,0,,,,
19,sql,SQL,code,6,0,0,,,,
20,arcgis,ArcGIS,geo,4,0,0,,,,
21,qgis,QGIS,geo,4,0,0,,,,
22,postgis,PostGIS,geo,5,0,0,,,,
23,erdas,ERDAS,geo,5,0,0,,,,
24,gdal,gdal,geo,4,0,0,,,,
25,impro,improvise,theater,4,0,0,,,,
26,learn,learn,theater,4,0,0,,,,
27,embrace,facilitation,theater,4,0,0,,,,
28,interact,interact,theater,4,0,0,,,,
29,maps,Maps,places,4,0,0,,,,
30,esa,ESA,companies,5,0,0,,,,
31,italy,Italy,places,6,0,0,,,41.892,12.511
32,italian,Italian,theater,6,0,0,,,,
33,giz,GIZ,companies,6,0,0,,,,
34,schwarz,Black Forest,places,6,0,0,,,48.133,8.333
35,lindy,Lindy Hop,theater,5,0,0,,,,
36,msc,Msc Geo- Information Science,edu,3,0,0,2012-08,2014-10,,
37,ba,Bachelor Economics,edu,4,0,0,2007-09,2010-08,,
38,msr,Courses Msc Natural Resource Management,edu,4,0,0,2011-04,2013-03,,
39,erasmus,Erasmus,edu,5,0,0,2012-08,2013-08,,s
